country_id,co2_pc,gdp_pc,urban,life_exp,country_name,region,income_level
DJI,0.763263436905869,3381.29779710722,72.8408245988921,65.987,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
DMA,1.22387610885581,9912.96212766668,73.1105011438027,71.132,Dominica,Latin America & Caribbean ,Upper middle income
DNK,4.4073670007762,68043.5466971243,88.552638542867,81.7536585365854,Denmark,Europe & Central Asia,High income
DOM,2.89366632939923,10630.431743829,72.3577991823338,73.72,Dominican Republic,Latin America & Caribbean ,Upper middle income
DZA,4.12827519079225,5370.477235078,74.732808364138,76.261,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ECU,2.60232947756693,6718.1447938811,63.1307729554263,77.392,Ecuador,Latin America & Caribbean ,Upper middle income
EGY,2.40830000255291,3456.78965212363,42.7098115041919,71.633,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
ESP,4.57046216901007,33493.2225409111,80.128491001856,83.9341463414634,Spain,Europe & Central Asia,High income
EST,8.37350742837627,30264.0064885057,70.6770085523126,78.7926829268293,Estonia,Europe & Central Asia,High income
ETH,0.147767891652244,1055.81091593061,23.0586471557617,67.315,Ethiopia,Sub-Saharan Africa ,Low income
FIN,5.88954587564164,52864.6931581216,74.0062548602828,81.5853658536585,Finland,Europe & Central Asia,High income
FJI,1.55581645737411,5926.20586394763,58.6069049738768,67.316,Fiji,East Asia & Pacific,Upper middle income
FRA,4.15598361008436,44700.1384177544,78.7804323126547,82.8317073170732,France,Europe & Central Asia,High income
FRO,0.0386043604544285,72486.6910957957,39.1975270123645,82.9521195121951,Faroe Islands,Europe & Central Asia,High income
FSM,0.0017757258279321,3933.01607031874,22.4334012451903,67.198,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income
GAB,2.06073835645602,7802.82433276138,91.6375962797313,68.337,Gabon,Sub-Saharan Africa ,Upper middle income
GBR,4.4477512185156,49919.6896621586,83.1601932891335,81.2380975609756,United Kingdom,Europe & Central Asia,High income
GEO,3.64859696572424,8283.66960652261,60.7523077799724,74.496,Georgia,Europe & Central Asia,Upper middle income
GHA,0.687364126711107,2383.90410476221,57.8074737774654,65.498,Ghana,Sub-Saharan Africa ,Lower middle income
GIN,0.348923061715176,1555.49375806861,37.6454083954705,60.74,Guinea,Sub-Saharan Africa ,Lower middle income
GMB,0.17562165357906,883.024111978927,63.8020182456108,65.86,"Gambia, The",Sub-Saharan Africa ,Low income
GNB,0.152925294159443,964.431832665395,45.5923843383789,64.085,Guinea-Bissau,Sub-Saharan Africa ,Low income
GNQ,2.57914675064098,6788.35271638376,71.1290664883517,63.707,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income
GRC,4.92324127436463,23343.7103964562,78.7746303842088,81.7365853658537,Greece,Europe & Central Asia,High income
GRD,1.45113212220599,11414.4781691181,36.462128238584,75.205,Grenada,Latin America & Caribbean ,Upper middle income
GRL,10.2857645300273,58498.9707973609,88.0631147749908,70.9724390243902,Greenland,Europe & Central Asia,High income
GTM,1.11051475329048,5754.42833909847,55.6082319565539,72.602,Guatemala,Latin America & Caribbean ,Upper middle income
GUY,4.52651590785052,20473.7002190617,26.4651457279878,70.18,Guyana,Latin America & Caribbean ,High income
HKG,4.52746115364711,50525.1119312663,100.0,85.2473170731707,"Hong Kong SAR, China",East Asia & Pacific,High income
HND,1.11312971877201,3227.45762509776,58.3132392705102,72.884,Honduras,Latin America & Caribbean ,Lower middle income
HRV,4.83573016043274,22183.4982258492,57.2431560672198,78.4731707317073,Croatia,Europe & Central Asia,High income
HTI,0.290485897277037,1681.84407667059,54.4496819335618,64.936,Haiti,Latin America & Caribbean ,Lower middle income
HUN,4.48048025757632,22208.6509820466,70.2923026891431,76.5707317073171,Hungary,Europe & Central Asia,High income
IDN,2.74747187282401,4876.2992959843,58.1179353397878,71.146,Indonesia,East Asia & Pacific,Upper middle income
IND,2.09622858892568,2434.44826340989,35.0676918424186,72.003,India,South Asia,Lower middle income
IRL,6.1870780177041,106818.917130804,64.1152082461268,82.8073170731707,Ireland,Europe & Central Asia,High income
IRN,9.00722487961339,5049.29931642754,76.6759567260742,77.654,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,5.16873911194444,5965.31835077761,69.868278503418,72.324,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,8.34925829026897,82201.2908518078,94.1518261784801,82.4560975609756,Iceland,Europe & Central Asia,High income
ISR,6.14077571327038,52126.4489280033,91.5089569794505,83.1951219512195,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income
ITA,5.1591446091273,39279.699782164,69.5381540123301,83.3512195121951,Italy,Europe & Central Asia,High income
JAM,2.7128452636924,7542.39855849054,58.4510149367429,71.479,Jamaica,Latin America & Caribbean ,Upper middle income
JOR,2.10161310922351,4906.23543006639,92.682236868336,77.814,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
